1 -2.1570409694526837541e-10 -2.7048950240832691453e-06 2.7048950326840200924e-06 0.99999999999986932675
2 -2.1642710124059050258e-09 -2.7183867037048996262e-05 2.7183867123204308747e-05 1.0000000000205782058
3 -2.4345966131988916459e-08 -0.00027184745604878421399 0.00027184745713896559883 0.99999999843482501038
4 -9.1298206292833583575e-06 -0.0027010932871245063591 0.0027011087166890919951 0.9999994769283842011
5 -0.00049520745190534398716 -0.023392967558214516899 0.023398208512621206101 0.99999710414160669636
6 2.5058026986114327883 -22.981461887656074339 23.117669382058327443 1.0015608387499175258
7 -2379.485693066901149 3097.636099223032943 3906.059595899652777 0.87942319642961508386
8 -nan -nan -nan -nan
9 -nan -nan -nan -nan
10 -nan -nan -nan -nan
11 -nan -nan -nan -nan
12 -nan -nan -nan -nan
13 -nan -nan -nan -nan
14 -nan -nan -nan -nan
15 -nan -nan -nan -nan
